ID,DOB,Source Locn.,n Records,Comments
4,Unknown,EBNR,40,Aest Seasons at Perth Zoo
10,Unknown,EBNR,17,
137,Unknown,EBNR,18,
144,Unknown,EBNR,35,
146,Unknown,EBNR,7,
151,Unknown,EBNR,25,
151,Unknown,EBNR,25,
158,Unknown,EBNR,19,
160,Unknown,EBNR,14,
169,Unknown,EBNR,14,
173,Unknown,EBNR,14,
174,Unknown,EBNR,9,
176,Unknown,EBNR,3,
180,Unknown,EBNR,6,
182,Unknown,EBNR,23,
183,Unknown,EBNR,5,
186,Unknown,EBNR,10,
187,Unknown,EBNR,9,
188,Unknown,EBNR,6,
191,Unknown,EBNR,11,
194,Unknown,EBNR,6,
196,Unknown,EBNR,38,Aest Seasons at Perth Zoo
197,Unknown,EBNR,87,Aest Seasons at Perth Zoo
198,Unknown,EBNR,14,
199,Unknown,EBNR,57,Aest Seasons at Perth Zoo
255,Unknown,EBNR,78,Aest Seasons at Perth Zoo
256,Unknown,EBNR,41,Aest Seasons at Perth Zoo
288,Unknown,EBNR,3, 
289,Unknown,EBNR,13,
341,Unknown,EBNR,33,Aest Seasons at Perth Zoo
380,Unknown,EBNR,34,Aest Seasons at Perth Zoo
387,Unknown,EBNR,37,Aest Seasons at Perth Zoo
508,1998,EBNR,6,
544,19/04/1999,Perth Zoo,25,Headstarted Hatchling
550,27/04/1999,Perth Zoo,20,Headstarted Hatchling
553,Unknown,EBNR,44,Aest Seasons at Perth Zoo
555,Unknown,EBNR,8,
580,26/04/2000,Perth Zoo,23,Headstarted Hatchling
588,Unknown,EBNR,7,
589,Unknown,EBNR,2,
591,Unknown,EBNR,7,
592,Unknown,EBNR,50,Aest Seasons at Perth Zoo
593,Unknown,EBNR,53,Aest Seasons at Perth Zoo
594,Unknown,EBNR,55,Aest Seasons at Perth Zoo
598,24/03/2001,Perth Zoo,24,Headstarted Hatchling
602,5/04/2001,Perth Zoo,20,Headstarted Hatchling
603,5/04/2001,Perth Zoo,22,Headstarted Hatchling
606,5/04/2001,Perth Zoo,22,Headstarted Hatchling
609,6/04/2001,Perth Zoo,24,Headstarted Hatchling
617,8/04/2001,Perth Zoo,20,Headstarted Hatchling
639,Unknown,EBNR,44,Aest Seasons at Perth Zoo
640,Unknown,EBNR,51,Aest Seasons at Perth Zoo
651,7/04/2002,Perth Zoo,12,Headstarted Hatchling
652,7/04/2002,Perth Zoo,12,Headstarted Hatchling
654,7/04/2002,Perth Zoo,14,Headstarted Hatchling
659,10/04/2002,Perth Zoo,10,Headstarted Hatchling
673,19/04/2002,Perth Zoo,8,Headstarted Hatchling
687,9/02/2003,Perth Zoo,23,Headstarted Hatchling
688,11/02/2003,Perth Zoo,22,Headstarted Hatchling
689,Unknown,EBNR,1,NOT 689 FROM ZOO
694,3/04/2003,Perth Zoo,15,Headstarted Hatchling
695,4/04/2003,Perth Zoo,17,Headstarted Hatchling
696,10/04/2003,Perth Zoo,15,Headstarted Hatchling
729,5/11/2003,EBNR,1,
732,27/02/2004,Perth Zoo,24,Headstarted Hatchling
735,24/03/2004,Perth Zoo,19,Headstarted Hatchling
745,2/04/2004,Perth Zoo,17,Headstarted Hatchling
777,Unknown,EBNR,3,
778,Unknown,EBNR,1,
779,Unknown,EBNR,1,
780,Unknown,EBNR,1,
781,Unknown,EBNR,2,
782,Unknown,EBNR,1,
783,Unknown,EBNR,1,
784,Unknown,EBNR,1,
785,Unknown,EBNR,1,
786,Unknown,EBNR,1,
787,Unknown,EBNR,1,
788,Unknown,EBNR,4,
789,Unknown,EBNR,2,
790,5/03/2005,Perth Zoo,19,Headstarted Hatchling
791,8/03/2005,Perth Zoo,20,Headstarted Hatchling
792,14/03/2005,Perth Zoo,18,Headstarted Hatchling
793,21/03/2005,Perth Zoo,17,Headstarted Hatchling
795,28/03/2005,Perth Zoo,17,Headstarted Hatchling
797,1/04/2005,Perth Zoo,16,Headstarted Hatchling
798,2/04/2005,Perth Zoo,16,Headstarted Hatchling
800,Unknown,EBNR,1,
801,3/04/2005,Perth Zoo,16,Headstarted Hatchling
802,3/04/2005,Perth Zoo,17,Headstarted Hatchling
805,6/04/2005,Perth Zoo,16,Headstarted Hatchling
806,6/04/2005,Perth Zoo,16,Headstarted Hatchling
808,10/04/2005,Perth Zoo,16,Headstarted Hatchling
811,11/04/2005,Perth Zoo,15,Headstarted Hatchling
865,Unknown,EBNR,3,
866,Unknown,EBNR,1,NOT 866 FROM ZOO
867,Unknown,EBNR,1,NOT 867 FROM ZOO
874,6/04/2006,Perth Zoo,25,Headstarted Hatchling
876,6/04/2006,Perth Zoo,27,Headstarted Hatchling
881,9/04/2006,Perth Zoo,25,Headstarted Hatchling
882,9/04/2006,Perth Zoo,26,Headstarted Hatchling
886,19/04/2006,Perth Zoo,23,Headstarted Hatchling
890,20/04/2006,Perth Zoo,22,Headstarted Hatchling
896,24/04/2006,Perth Zoo,23,Headstarted Hatchling
898,24/04/2006,Perth Zoo,24,Headstarted Hatchling
904,Unknown,EBNR,2,
905,Unknown,EBNR,4,
906,Unknown,EBNR,1,
907,Unknown,EBNR,2,
908,Unknown,EBNR,3,
909,Unknown,EBNR,3,
910,Unknown,EBNR,1,
911,Unknown,EBNR,2,
912,Unknown,EBNR,1,
914,30/01/2007,Perth Zoo,31,Headstarted Hatchling
918,30/03/2007,Perth Zoo,23,Headstarted Hatchling
919,2/04/2007,Perth Zoo,23,Headstarted Hatchling
920,13/06/2007,Perth Zoo,22,Headstarted Hatchling
941,8/03/2008,Perth Zoo,64,Aest Seasons at Perth Zoo
1017,Unknown,EBNR,1,
1018,Unknown,EBNR,1,
1019,Unknown,EBNR,1,
1020,Unknown,EBNR,1,
1021,Unknown,EBNR,1,
1022,Unknown,EBNR,1,
